id,text,place,retweet_count,favorite_count,user.name,user.location,user.followers_count,user.friends_count,user.favourites_count,user.verified
570267956648792064,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,,0,0,Jenelle Pierce,"Boston, MA",428,1191,1623,False
570264145116819457,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,,0,0,Les Shu,,42806,335,1273,True
570012257549070337,@VirginAmerica I'm #elevategold for a good reason: you rock!!,,0,0,Ari Daie,"Los Angeles, New York",184,8,55,False
570300616901320704,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",,0,2,Chris McGinnis,"San Francisco, CA",32057,4485,27838,True
569972508499283968,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,,0,2,Travelzoo,"New York, NY",549107,24182,6086,True
569989034501500928,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,,0,0,Rachel Stern,"New York, NY",73,163,11,False
570207886493782019,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,,0,0,"Heather Gonzalez, MS",,247,956,176,False
569929243146088448,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,,0,1,another discontent,"Los Angeles, CA",16,80,219,False
570300248553349120,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",,0,0,Matthew Kramer,Los Angeles,3559,688,21656,False
570016304284901379,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,,0,0,Amanda Gottesman,Los Angeles,217,175,846,False
570114021854212096,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during booking 😢",,0,0,Jordan Pichler,"Wien, Österreich",56,340,844,False
570051991277342720,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,,0,0,miaerolinea,Worldwide,10274,8098,7,False
569933777931145216,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,,0,0,Letsflywithgreg,"Dallas, TX",504,1957,3690,False
570000071644872704,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,,0,0,Greg Murat,,11,3,0,False
569982307634794497,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,,0,0,Lawale Adewoyin,USA,1126,1813,127,False
569934395865493504,@VirginAmerica what happened to Doom?!,,0,1,Kyle Romanoff,"Seattle,WA/New York",1548,238,45058,False
570045393565691904,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",,0,1,Nicole Boedeker,Central Texas,734,1195,3784,False
570249102404923392,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,,0,0,Leora lesh,,53,59,14,False
570011341483843584,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,,0,0,nicola nicola 7,Turks and caicos,670,1216,6206,False
570084582780899328,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",,0,0,amandamccarty,"San Diego, CA",1336,485,150,False
570038941497192448,@VirginAmerica when can I book my flight to Hawaii??,,0,0,elle,,363,385,477,False
570294189143031808,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,,0,0,kery,,2430,206,49111,False
570013523650048002,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,,0,0,Greg Murat,,11,3,0,False
570256553502068736,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,,0,0,vbt,,209,188,4854,False
569941957490774016,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,,0,0,Taylor Lumsden,"Dallas, Texas",1511,899,2429,True
569949891163615232,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,,0,0,Matthew S,Los Angeles,50,355,146,False
569923394990419968,@VirginAmerica Can't bring up my reservation online using booking code,,0,0,Serena lal,Chicago,30,58,52,False
569926998824394752,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,,0,0,Jesse Atkinson,"The Sunset, San Francisco, CA",1326,532,80336,False
569911218942517248,@VirginAmerica why is flight 345 redirected?,,0,0,yazdan aghaghiri,,9,27,31,False
569940834994401280,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",,0,0,Campus Movie Fest,USA,4837,887,4306,False
569909224521641984,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,,0,0,Andrew Horner,"Austin, TX",94,40,161,False
570301083672813571,@VirginAmerica I didn't today... Must mean I need to take another trip!,,0,0,Yvonna Lynn,,1758,140,13391,False
570009713447825408,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,,0,0,lisa parker,,46,33,3351,False
570306133677760513,@VirginAmerica What @dhepburn said.,,0,0,ピート,,542,1221,2949,False
